"IDPIF","SUPQUEMADA","RADIO_M","MUERTOS","HERIDOS","IDCOMUNIDAD","COMUNIDAD","IDPROVINCIA","PROVINCIA","COMARCA","MUNICIPIO","LATITUD","LONGITUD","FECHA","TIME_CTRL","TIME_EXT","RES_GRP_CAUSA","IDGRUPOCAUSA","CAUSA","PERSONAL","PESADOS","AEREOS","GASTOS_EXT","PERDIDAS"
"2004210126","29867","9750.36","0","1","4","ANDALUCIA","21","HUELVA","CUENCA MINERA","MINAS DE RIOTINTO","37.69176","-6.59999","2004-07-27","9625","11065","1","4","PROVOCADOS POR PIRÓMANOS","1504","89","34","0","4488390"
"2012460248","28879.1","9587.75","0","0","9","C. VALENCIANA","46","VALENCIA","LA VALL D AYORA","CORTES DE PALLÁS","39.269116","-0.955787","2012-06-28","10320","24772","0","3","MOTORES Y MÁQUINAS (SIN ESPECIFICAR)","1540","109","37","0","12607966"
"2012460247","20064.9","7991.78","0","2","9","C. VALENCIANA","46","VALENCIA","ELS SERRANS","ANDILLA","39.759251","-0.776686","2012-06-29","9834","30474","0","2","OTRAS NEGLIGENCIAS (OTRAS)","2809","124","115","0","30640114"
"2007350042","18672.9","7709.58","0","1","12","CANARIAS","35","LAS PALMAS","GRAN CANARIA","TEJEDA","27.946166","-15.661566","2007-07-27","7011","42168","1","4","OTRAS MOTIVACIONES","601","66","11","0","0"
"2007380023","16820.63","7317.22","0","0","12","CANARIAS","38","S.C. TENERIFE","TENERIFE","REALEJOS, LOS","28.358346","-16.603593","2007-07-30","4353","24523","1","4","SIN DATOS","1100","71","14","184705","0"
"2005190182","12732.73","6366.28","11","3","11","CASTILLA-MANCHA","19","GUADALAJARA","ALCARRIA ALTA","RIBA DE SAELICES","40.939933","-2.2925","2005-07-16","6886","24851","0","2","HOGUERAS","1045","81","29","551169","23142608"
"2012240531","11592","6074.41","0","1","17","CASTILLA Y LEON","24","LEON","LA BAÑEZA","CASTROCONTRIGO","42.193132","-6.227208","2012-08-19","13224","26184","1","4","PROVOCADOS POR CAMPESINOS PARA ELIMINAR MATORRAL Y RESIDUOS AGRÍCOLAS","273","28","32","0","0"
"2005100838","9901.47","5614.03","0","0","14","EXTREMADURA","10","CACERES","IBORES-VILLUERCAS","CAÑAMERO","39.381154","-5.37991","2005-07-21","1738","9073","1","4","OTRAS MOTIVACIONES","506","77","24","0","14066413"
"2003100794","9562.66","5517.15","0","0","14","EXTREMADURA","10","CACERES","SIERRA DE SAN PEDRO","PORTUGAL","39.253778","-7.249774","2003-08-02","4320","14350","0","1","RAYO","830","23","14","0","4277026"
"2012170124","8729.8","5271.42","0","0","2","CATALUÑA","17","GIRONA","ALT EMPORDA","JONQUERA, LA","42.458314","2.865898","2012-07-22","6888","11217","0","2","FUMADORES","1695","99","28","0","0"
"2012290166","8037.14","5057.97","0","0","4","ANDALUCIA","29","MALAGA","VALLE DE GUADALHORCE","COÍN","36.610177","-4.735191","2012-08-30","4300","6550","0","2","QUEMA AGRÍCOLA (QUEMA DE RESTOS DE PODA)","1869","83","43","0","0"
