"idcomunidad","comunidad","anio","num_incendios","supquemada","median_llegpmt","median_ctrl","median_ext"
1,"EUSKADI",2001,119,604.4000,25,120,165
1,"EUSKADI",2002,152,1496.1800,30,102.5,181.5
1,"EUSKADI",2003,110,691.2400,30,115,195
1,"EUSKADI",2004,61,108.5200,20,90,155
1,"EUSKADI",2005,90,393.4400,25,120,225
1,"EUSKADI",2006,64,42.7300,17.5,60,120
1,"EUSKADI",2007,66,105.5600,20.5,120,169
1,"EUSKADI",2008,78,238.7000,20,94.5,135
1,"EUSKADI",2009,83,758.7800,25,70,130
1,"EUSKADI",2010,114,782.8400,17.5,95.5,169
1,"EUSKADI",2011,139,424.3700,20,85,150
1,"EUSKADI",2012,139,344.3100,20,81,115
1,"EUSKADI",2013,92,170.0800,25,77.5,120
2,"CATALUÑA",2001,722,2994.8800,15,45,90
2,"CATALUÑA",2002,543,2099.6400,16,49,100
2,"CATALUÑA",2003,693,9743.1600,15,49,95
2,"CATALUÑA",2004,564,1067.6800,15,50,95
2,"CATALUÑA",2005,889,5487.9900,15,55,110
2,"CATALUÑA",2006,628,3404.6700,15,45,94.5
2,"CATALUÑA",2007,578,1612.1600,15,49,95
2,"CATALUÑA",2008,421,577.4000,15,50,95
2,"CATALUÑA",2009,747,3452.9700,15,50,98
2,"CATALUÑA",2010,474,618.8700,15,45,90
2,"CATALUÑA",2011,586,1097.5700,15,50,104
2,"CATALUÑA",2012,748,15026.9100,15,55,110
2,"CATALUÑA",2013,602,1060.1600,15,50,91.5
3,"GALICIA",2001,9905,17755.5700,15,60,100
3,"GALICIA",2002,10686,25814.3700,15,55,100
3,"GALICIA",2003,8494,19737.7600,15,55,100
3,"GALICIA",2004,10560,31939.7100,15,55,95
3,"GALICIA",2005,11963,55479.4300,15,55,104
3,"GALICIA",2006,6847,93441.0800,20,65,135
3,"GALICIA",2007,3139,7018.8300,18,50,100
3,"GALICIA",2008,2545,6335.8300,19,51,90
3,"GALICIA",2009,3967,10711.2000,17,53,107
3,"GALICIA",2010,3836,14787.2700,16,52,118.5
3,"GALICIA",2011,6342,42390.1900,18,60,132
3,"GALICIA",2012,3794,15598.1700,18,55,108
3,"GALICIA",2013,3581,19775.8800,16,55,133
4,"ANDALUCIA",2001,863,7235.7800,20,75,135
4,"ANDALUCIA",2002,848,9568.3000,22,75,150
4,"ANDALUCIA",2003,997,11622.0100,20,80,155
4,"ANDALUCIA",2004,942,49898.0700,24.5,80,165
