ranking,idCCAA_INE,idComunidad,comunidad,idProvincia,provincia,idMunicipio,municipio,num_incendios,supquemada
1,03,05,ASTURIAS,33,ASTURIAS,33036,LLANES,1648,4367.41
2,12,03,GALICIA,36,PONTEVEDRA,36009,"CAÑIZA, A",1500,3789.73
3,03,05,ASTURIAS,33,ASTURIAS,33011,CANGAS DEL NARCEA,1306,18819.46
4,03,05,ASTURIAS,33,ASTURIAS,33049,PILOÑA,1285,5179.11
5,12,03,GALICIA,32,OURENSE,32086,VIANA DO BOLO,1252,7437.9
6,12,03,GALICIA,32,OURENSE,32051,MUIÑOS,1187,2470.09
7,12,03,GALICIA,32,OURENSE,32044,MANZANEDA,1157,10136.37
8,12,03,GALICIA,32,OURENSE,32034,"GUDIÑA, A",1078,5992.96
9,12,03,GALICIA,36,PONTEVEDRA,36030,MONDARIZ,1044,2178.06
10,12,03,GALICIA,36,PONTEVEDRA,36034,"NEVES, AS",1030,1351.2
11,03,05,ASTURIAS,33,ASTURIAS,33012,CANGAS DE ONÍS,982,3262.46
12,03,05,ASTURIAS,33,ASTURIAS,33073,TINEO,952,7922.63
13,03,05,ASTURIAS,33,ASTURIAS,33033,LENA,902,3987.45
14,12,03,GALICIA,32,OURENSE,32048,"MEZQUITA, A",885,3369.17
15,12,03,GALICIA,36,PONTEVEDRA,36050,SALVATERRA DE MIÑO,848,334.44
16,12,03,GALICIA,32,OURENSE,32029,CHANDREXA DE QUEIXA,842,5648.76
17,12,03,GALICIA,15,A CORUÑA,15077,SANTA COMBA,828,2043.48
18,12,03,GALICIA,32,OURENSE,32063,"POBRA DE TRIVES, A",811,1245.35
19,12,03,GALICIA,15,A CORUÑA,15073,RIBEIRA,805,1563.73
20,12,03,GALICIA,36,PONTEVEDRA,36042,PONTEAREAS,791,1401.39
21,12,03,GALICIA,15,A CORUÑA,15011,BOIRO,783,2797.92
22,12,03,GALICIA,36,PONTEVEDRA,36054,TOMIÑO,758,330.57
23,03,05,ASTURIAS,33,ASTURIAS,33044,OVIEDO,729,992.53
24,03,05,ASTURIAS,33,ASTURIAS,33026,GRADO,705,2462.95
25,12,03,GALICIA,15,A CORUÑA,15019,CARBALLO,699,569.76
26,12,03,GALICIA,32,OURENSE,32028,CUALEDRO,695,4740.82
27,12,03,GALICIA,15,A CORUÑA,15078,SANTIAGO DE COMPOSTELA,692,1464.72
28,03,05,ASTURIAS,33,ASTURIAS,33001,ALLANDE,691,10740.68
29,12,03,GALICIA,36,PONTEVEDRA,36047,RODEIRO,689,2159.27
30,12,03,GALICIA,36,PONTEVEDRA,36018,FORCAREI,678,3663.78
31,12,03,GALICIA,32,OURENSE,32023,CASTRO CALDELAS,677,1273.41
