IDPIF,SUPQUEMADA,MUERTOS,HERIDOS,COMUNIDAD,PROVINCIA,COMARCA,MUNICIPIO,LATITUD,LONGITUD,FECHA,TIME_CTRL,TIME_EXT,IDGRUPOCAUSA,CAUSA,PERSONAL,PESADOS,AEREOS,GASTOS_EXT,PERDIDAS
2004210126,29867,0,1,ANDALUCIA,HUELVA,CUENCA MINERA,MINAS DE RIOTINTO,37.69176000,-6.59999000,2004-07-27,9625,11065,4,Provocados por pirómanos,963,55,17,0,17953560
2012460248,28879.1,0,0,C. VALENCIANA,VALENCIA,LA VALL D AYORA,CORTES DE PALLÁS,39.26911600,-0.95578700,2012-06-28,10320,24772,3,TRABAJOS FORESTALES,1540,109,37,0,25215932
2012460247,20064.9,0,2,C. VALENCIANA,VALENCIA,ELS SERRANS,ANDILLA,39.75925100,-0.77668600,2012-06-29,9834,30474,2,OTRAS NEGLIGENCIAS (OTRAS),2809,124,115,0,30640114
2007350042,18672.9,0,1,CANARIAS,LAS PALMAS,GRAN CANARIA,TEJEDA,27.94616600,-15.66156600,2007-07-27,7011,42168,4,Otras motivaciones,601,66,11,0,0
2007380023,16820.63,0,0,CANARIAS,S.C. TENERIFE,TENERIFE,"REALEJOS, LOS",28.35834600,-16.60359300,2007-07-30,4353,24523,4,Sin datos,1100,71,14,738820,0
2005190182,12732.73,11,3,CASTILLA-MANCHA,GUADALAJARA,ALCARRIA ALTA,RIBA DE SAELICES,40.93993300,-2.29250000,2005-07-16,6886,24851,2,HOGUERAS,1045,81,29,1102338,46285216
2012240531,11592.0,0,1,CASTILLA Y LEON,LEON,LA BAÑEZA,CASTROCONTRIGO,42.19313200,-6.22720800,2012-08-19,13224,26184,4,Provocados por campesinos para eliminar matorral y residuos agrícolas,273,28,32,0,0
2005100838,9901.47,0,0,EXTREMADURA,CACERES,IBORES-VILLUERCAS,CAÑAMERO,39.38115400,-5.37991000,2005-07-21,1738,9073,4,Otras motivaciones,506,77,24,0,56265652
2003100794,9562.66,0,0,EXTREMADURA,CACERES,SIERRA DE SAN PEDRO,PORTUGAL,39.25377800,-7.24977400,2003-08-02,4320,14350,1,RAYO,830,23,14,0,17108104
2012170124,8729.8,0,0,CATALUÑA,GIRONA,ALT EMPORDA,"JONQUERA, LA",42.45831400,2.86589800,2012-07-22,6888,11217,2,FUMADORES,1695,99,28,0,0
2012290166,8037.14,0,0,ANDALUCIA,MALAGA,VALLE DE GUADALHORCE,COÍN,36.61017700,-4.73519100,2012-08-30,4300,6550,2,QUEMA AGRÍCOLA (QUEMA DE RESTOS DE PODA),1869,83,43,0,0
2006361456,7316.77,0,2,GALICIA,PONTEVEDRA,DEZA-TABEIROS,CERDEDO,42.54299400,-8.43642600,2006-08-04,1765,9040,4,Provocados por pirómanos,535,52,23,1052640,61705260
2004230117,7136.6,0,0,ANDALUCIA,JAEN,SIERRA MORENA,ALDEAQUEMADA,38.43810000,-3.31853100,2004-08-26,1310,5480,4,Sin datos,632,45,26,693400,6819976
2009440084,6677.89,0,0,ARAGON,TERUEL,CUENCAS MINERAS,ALIAGA,40.71014000,-0.65960400,2009-07-22,9095,24830,1,RAYO,822,40,35,2331668,114216600
2012380717,6512.0,0,1,CANARIAS,S.C. TENERIFE,TENERIFE,ADEJE,28.13963800,-16.69034800,2012-07-15,8815,152365,2,FUMADORES,824,38,14,0,0
2009500179,6459.16,0,0,ARAGON,ZARAGOZA,ZARAGOZA,ZARAGOZA,41.86552900,-0.99850900,2009-08-18,4465,7675,3,HOGUERAS,480,46,21,0,26782674
2003100718,6365.7,0,0,EXTREMADURA,CACERES,HURDES,OTRA PROVINCIA,40.45754100,-6.41557700,2003-08-13,0,14430,2,QUEMA AGRÍCOLA (SIN ESPECIFICAR),273,21,23,0,24955544
2003050106,6275.0,0,1,CASTILLA Y LEON,AVILA,EL BARCO DE AVILA,SOLANA DE ÁVILA,40.33267000,-5.64525800,2003-08-03,4425,20490,4,Vandalismo,347,18,15,0,3014876
2007120090,5775.02,0,0,C. VALENCIANA,CASTELLON,L ALCALATEN,"USERES, LES/USERAS",40.15479000,-0.18883300,2007-08-28,5755,14695,3,TRABAJOS FORESTALES,765,10,38,0,0
2012020224,5207.28,0,0,CASTILLA-MANCHA,ALBACETE,HELLIN,HELLÍN,38.44883400,-1.77295800,2012-07-01,2762,7442,4,Provocados por venganzas,489,48,39,0,0
2005490807,4650.0,0,0,CASTILLA Y LEON,ZAMORA,EL PUENTE,PORTO,42.21761600,-6.73633600,2005-10-01,14190,14970,4,Sin datos,33,4,9,167116,0
2005230249,4506.5,0,7,ANDALUCIA,JAEN,LAS VILLAS,VILLANUEVA DEL ARZOBISPO,38.14098500,-2.83285200,2005-08-07,5090,12290,1,RAYO,1455,28,42,0,0
2009040055,4444.27,0,0,ANDALUCIA,ALMERIA,LEVANTE ALMERIENSE,TURRE,37.07538600,-1.96103600,2009-07-14,2683,7033,1,RAYO,437,24,17,0,0
