idCCAA_INE,comunidad,idProvincia,provincia,idMunicipio,municipio,num_incendios,SUPQUEMADA
01,"ANDALUCIA",04,"ALMERIA",04066,"NÍJAR",93,1565.72
01,"ANDALUCIA",04,"ALMERIA",04003,"ADRA",53,373.35
01,"ANDALUCIA",04,"ALMERIA",04029,"BERJA",50,337.6
01,"ANDALUCIA",04,"ALMERIA",04086,"SORBAS",46,1347.48
01,"ANDALUCIA",04,"ALMERIA",04013,"ALMERÍA",34,250.24
01,"ANDALUCIA",04,"ALMERIA",04088,"TABERNAS",24,32.78
01,"ANDALUCIA",04,"ALMERIA",04076,"PURCHENA",21,21.13
01,"ANDALUCIA",04,"ALMERIA",04035,"CUEVAS DEL ALMANZORA",20,147.03
01,"ANDALUCIA",04,"ALMERIA",04083,"SERÓN",20,52.86
01,"ANDALUCIA",04,"ALMERIA",04032,"CARBONERAS",19,114.39
01,"ANDALUCIA",04,"ALMERIA",04038,"DALÍAS",17,81.15
01,"ANDALUCIA",04,"ALMERIA",04060,"LUCAINENA DE LAS TORRES",17,55.41
01,"ANDALUCIA",04,"ALMERIA",04030,"CANJÁYAR",16,192.99
01,"ANDALUCIA",04,"ALMERIA",04070,"ORIA",16,7
01,"ANDALUCIA",04,"ALMERIA",04046,"FONDÓN",15,30.8
01,"ANDALUCIA",04,"ALMERIA",04007,"ALCOLEA",15,12.73
01,"ANDALUCIA",04,"ALMERIA",04050,"GÉRGAL",15,7.35
01,"ANDALUCIA",04,"ALMERIA",04041,"ENIX",14,1958.73
01,"ANDALUCIA",04,"ALMERIA",04053,"HUÉRCA-OVERA",12,93.2
01,"ANDALUCIA",04,"ALMERIA",04065,"NACIMIENTO",12,91.01
01,"ANDALUCIA",04,"ALMERIA",04099,"VÉLEZ-RUBIO",12,6.25
01,"ANDALUCIA",04,"ALMERIA",04082,"SENÉS",11,187.76
01,"ANDALUCIA",04,"ALMERIA",04097,"VELEFIQUE",11,166.84
01,"ANDALUCIA",04,"ALMERIA",04008,"ALCÓNTAR",11,47.05
01,"ANDALUCIA",04,"ALMERIA",04031,"CANTORIA",11,27.47
01,"ANDALUCIA",04,"ALMERIA",04017,"ARBOLEAS",11,18.49
01,"ANDALUCIA",04,"ALMERIA",04016,"ANTAS",11,14.77
01,"ANDALUCIA",04,"ALMERIA",04043,"FELIX",11,12.8
01,"ANDALUCIA",04,"ALMERIA",04002,"ABRUCENA",11,1.89
01,"ANDALUCIA",04,"ALMERIA",04093,"TURRE",10,6907.2
01,"ANDALUCIA",04,"ALMERIA",04092,"TÍJOLA",10,17.27
01,"ANDALUCIA",04,"ALMERIA",04064,"MOJÁCAR",10,14.38
01,"ANDALUCIA",04,"ALMERIA",04077,"RÁGOL",9,110.25
01,"ANDALUCIA",04,"ALMERIA",04075,"PULPÍ",9,41.06
01,"ANDALUCIA",04,"ALMERIA",04059,"LUBRÍN",9,27.12
01,"ANDALUCIA",04,"ALMERIA",04006,"ALBOX",9,25.53
01,"ANDALUCIA",04,"ALMERIA",04102,"VÍCAR",9,20.59
01,"ANDALUCIA",04,"ALMERIA",04057,"LÁUJAR DE ANDARAX",9,18.45
01,"ANDALUCIA",04,"ALMERIA",04022,"BÉDAR",9,17.46
01,"ANDALUCIA",04,"ALMERIA",04069,"OLULA DEL RÍO",9,2.69
01,"ANDALUCIA",04,"ALMERIA",04019,"BACARES",8,140.11
01,"ANDALUCIA",04,"ALMERIA",04062,"MACAEL",8,61.28
01,"ANDALUCIA",04,"ALMERIA",04094,"TURRILLAS",8,6.64
01,"ANDALUCIA",04,"ALMERIA",04090,"TAHAL",7,402.25
01,"ANDALUCIA",04,"ALMERIA",04901,"TRES VILLAS, LAS",7,57.37
01,"ANDALUCIA",04,"ALMERIA",04021,"BAYARQUE",7,51.08
01,"ANDALUCIA",04,"ALMERIA",04103,"ZURGENA",7,34.06
01,"ANDALUCIA",04,"ALMERIA",04054,"ILLAR",7,6.42
01,"ANDALUCIA",04,"ALMERIA",04024,"BENAHADUX",6,185.26
01,"ANDALUCIA",04,"ALMERIA",04084,"SIERRO",6,147.21
01,"ANDALUCIA",04,"ALMERIA",04033,"CASTRO DE FILABRES",6,56.25
01,"ANDALUCIA",04,"ALMERIA",04045,"FIÑANA",6,47.2
01,"ANDALUCIA",04,"ALMERIA",04005,"ALBOLODUY",6,45.69
01,"ANDALUCIA",04,"ALMERIA",04001,"ABLA",6,28.53
01,"ANDALUCIA",04,"ALMERIA",04081,"SANTA FE DE MONDÚJAR",6,17.86
01,"ANDALUCIA",04,"ALMERIA",04068,"OLULA DE CASTRO",6,10.84
01,"ANDALUCIA",04,"ALMERIA",04067,"OHANES",6,6.65
01,"ANDALUCIA",04,"ALMERIA",04098,"VÉLEZ-BLANCO",6,1.33
01,"ANDALUCIA",04,"ALMERIA",04011,"ALHAMA DE ALMERÍA",6,1.18
01,"ANDALUCIA",04,"ALMERIA",04044,"FINES",5,44.55
01,"ANDALUCIA",04,"ALMERIA",04072,"PARTALOA",5,32.78
01,"ANDALUCIA",04,"ALMERIA",04073,"PATERNA DEL RÍO",5,17.29
01,"ANDALUCIA",04,"ALMERIA",04048,"GALLARDOS, LOS",5,10.28
01,"ANDALUCIA",04,"ALMERIA",04058,"LÍJAR",5,6.31
01,"ANDALUCIA",04,"ALMERIA",04100,"VERA",5,5.18
01,"ANDALUCIA",04,"ALMERIA",04023,"BEIRES",4,335.6
01,"ANDALUCIA",04,"ALMERIA",04047,"GÁDOR",4,79.98
01,"ANDALUCIA",04,"ALMERIA",04061,"LÚCAR",4,8.52
01,"ANDALUCIA",04,"ALMERIA",04055,"INSTINCIÓN",4,6.79
01,"ANDALUCIA",04,"ALMERIA",04036,"CHERCOS",4,4.25
01,"ANDALUCIA",04,"ALMERIA",04079,"ROQUETAS DE MAR",4,1.99
01,"ANDALUCIA",04,"ALMERIA",04051,"HUÉCIJA",4,1.13
01,"ANDALUCIA",04,"ALMERIA",04902,"EJIDO, EL",4,0.69
01,"ANDALUCIA",04,"ALMERIA",04037,"CHIRIVEL",4,0.48
01,"ANDALUCIA",04,"ALMERIA",04063,"MARÍA",4,0.09
01,"ANDALUCIA",04,"ALMERIA",04101,"VIATOR",4,0.09
01,"ANDALUCIA",04,"ALMERIA",04027,"BENIZALÓN",3,72.88
01,"ANDALUCIA",04,"ALMERIA",04071,"PADULES",3,1.95
01,"ANDALUCIA",04,"ALMERIA",04014,"ALMÓCITA",3,1.14
01,"ANDALUCIA",04,"ALMERIA",04010,"ALHABIA",3,0.3
01,"ANDALUCIA",04,"ALMERIA",04020,"BAYÁRCAL",3,0.25
01,"ANDALUCIA",04,"ALMERIA",04085,"SOMONTÍN",3,0.03
01,"ANDALUCIA",04,"ALMERIA",04096,"URRÁCAL",2,9.14
01,"ANDALUCIA",04,"ALMERIA",04095,"ULEILA DEL CAMPO",2,1.84
01,"ANDALUCIA",04,"ALMERIA",04052,"HUÉRCAL DE ALMERÍA",2,0.93
01,"ANDALUCIA",04,"ALMERIA",04028,"BENTARIQUE",2,0.33
01,"ANDALUCIA",04,"ALMERIA",04049,"GARRUCHA",2,0.25
01,"ANDALUCIA",04,"ALMERIA",04903,"MOJONERA, LA",1,2.86
01,"ANDALUCIA",04,"ALMERIA",04056,"LAROYA",1,1.5
01,"ANDALUCIA",04,"ALMERIA",04089,"TABERNO",1,1.4
01,"ANDALUCIA",04,"ALMERIA",04074,"PECHINA",1,0.65
01,"ANDALUCIA",04,"ALMERIA",04078,"RIOJA",1,0.1
01,"ANDALUCIA",04,"ALMERIA",04091,"TERQUE",1,0.08
01,"ANDALUCIA",04,"ALMERIA",04004,"ALBÁNCHEZ",1,0.04
01,"ANDALUCIA",04,"ALMERIA",04012,"ALICÚN",1,0
01,"ANDALUCIA",11,"CADIZ",11033,"SAN ROQUE",131,1123.87
01,"ANDALUCIA",11,"CADIZ",11035,"TARIFA",117,1307.52
01,"ANDALUCIA",11,"CADIZ",11007,"BARBATE",92,160.47
01,"ANDALUCIA",11,"CADIZ",11020,"JEREZ DE LA FRONTERA",67,61.69
01,"ANDALUCIA",11,"CADIZ",11008,"BARRIOS, LOS",55,409.74
01,"ANDALUCIA",11,"CADIZ",11004,"ALGECIRAS",52,684.75
01,"ANDALUCIA",11,"CADIZ",11006,"ARCOS DE LA FRONTERA",43,63.11
01,"ANDALUCIA",11,"CADIZ",11021,"JIMENA DE LA FRONTERA",42,284.95
01,"ANDALUCIA",11,"CADIZ",11014,"CONIL DE LA FRONTERA",39,198.6
01,"ANDALUCIA",11,"CADIZ",11001,"ALCALÁ  DE LOS GAZULES",39,151.36
01,"ANDALUCIA",11,"CADIZ",11028,"PUERTO REAL",39,76.43
01,"ANDALUCIA",11,"CADIZ",11013,"CASTELLAR DE LA FRONTERA",32,23.23
01,"ANDALUCIA",11,"CADIZ",11023,"MEDINA-SIDONIA",31,128.89
01,"ANDALUCIA",11,"CADIZ",11039,"VEJER DE LA FRONTERA",29,28.27
01,"ANDALUCIA",11,"CADIZ",11022,"LINEA  CONCEPCION, LA",25,77.62
